label region
1 Genualis_L
2 Genualis_R
3 AnteriorCingulateGyrus_L
4 AnteriorCingulateGyrus_R
5 CingulateGyrus_L
6 CingulateGyrus_R
7 PosteriorCingulateGyrus_L
8 PosteriorCingulateGyrus_R
9 SubcallosusGyrus_L
10 SubcallosusGyrus_R
11 OrbitalGyrus_L
12 OrbitalGyrus_R
13 PregenualGyrus_L
14 PregenualGyrus_R
15 GyrusProreus_L
16 GyrusProreus_R
17 GyrusSubproreus_L
18 GyrusSubproreus_R
19 EntolateralGyrus_L
20 EntolateralGyrus_R
21 LateralFissure_L
22 LateralFissure_R
23 OCMarginalGyrus_L
24 OCMarginalGyrus_R
25 OCEctolateralGyrus_L
26 OCEctolateralGyrus_R
27 Medial_OccipitalGyrus_L
28 Medial_OccipitalGyrus_R
29 OCSuprasylvianGyrus_L
30 OCSuprasylvianGyrus_R
31 Recurrens_L
32 Recurrens_R
33 PararecurrensGyrus_L
34 PararecurrensGyrus_R
35 SMCoronalGyrus_L
36 SMCoronalGyrus_R
37 PresplenialGyrus_L
38 PresplenialGyrus_R
39 Posterior_CompositusGyrus_L
40 Posterior_CompositusGyrus_R
41 PrePostcentralGyrus_L
42 PrePostcentralGyrus_R
43 EctosylvianGyrus_L
44 EctosylvianGyrus_R
45 SylvianGyrus_L
46 SylvianGyrus_R
47 AnteriorCompositusGyrus_L
48 AnteriorCompositusGyrus_R
49 PrecruciateGyrus_L
50 PrecruciateGyrus_R
51 CentralGyrus_L
52 CentralGyrus_R
53 PostcentralGyrus_L
54 PostcentralGyrus_R
55 PrecentralGyrus_L
56 PrecentralGyrus_R
57 Amygdala_L
58 Amygdala_R
59 CaudateNucleus_L
60 CaudateNucleus_R
61 CaudalColliculus_L
62 CaudalColliculus_R
63 Cerebellum_L
64 Cerebellum_R
65 Hippocampus_L
66 Hippocampus_R
67 LateralGeniculate_L
68 LateralGeniculate_R
69 MedialGeniculate_L
70 MedialGeniculate_R
71 OlfactoryBulb_L
72 OlfactoryBulb_R
73 RostralColliculus_L
74 RostralColliculus_R
75 PRCoronalGyrus_L
76 PRCoronalGyrus_R
77 PRSuprasylvianGyrus_L
78 PRSuprasylvianGyrus_R
79 PRMarginalGyrus_L
80 PRMarginalGyrus_R
81 PREctolateralGyrus_L
82 PREctolateralGyrus_R
